Taxonomy,Taxon_ID,target.gene,BRC.ID,Superclass,Class,Subclass,Gene_Name,EC.number,Accession,Alt.Locus.Tag,Feature.ID,Feature.Type,Start,End,Length.1,Strand.x,FIGfam.ID,PATRIC.genus.specific.families..PLfams.,PATRIC.cross.genus.families..PGfams.,Protein.ID,AA.Length,Patric_Product,GO
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0986,fig|83332.111.peg.1094,Membrane Transport,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_1094,PATRIC.83332.111.CP003248.CDS.1101807.1102553.fwd,CDS,1101807,1102553,747,+,FIG00010870,PLF_1763_00002958,PGF_01001762,AFN48875.1,248,AttE component of AttEFGH ABC transport system,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0987,fig|83332.111.peg.1095,Membrane Transport,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_1095,PATRIC.83332.111.CP003248.CDS.1102546.1105113.fwd,CDS,1102546,1105113,2568,+,FIG00009918,PLF_1763_00001794,PGF_00068031,AFN48876.1,855,AttF component of AttEFGH ABC transport system / AttG component of AttEFGH ABC transport system,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0988,fig|83332.111.peg.1096,Membrane Transport,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_1096,PATRIC.83332.111.CP003248.CDS.1105135.1106280.fwd,CDS,1105135,1106280,1146,+,FIG00029303,PLF_1763_00002872,PGF_03862972,AFN48877.1,381,AttH component of AttEFGH ABC transport system,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1473,fig|83332.111.peg.1639,,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_1639,PATRIC.83332.111.CP003248.CDS.1660662.1662290.fwd,CDS,1660662,1662290,1629,+,FIG01956052,PLF_1763_00000545,PGF_02552445,AFN49385.1,542,Bis-ABC ATPase SCO1840,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1667c,fig|83332.111.peg.1853,,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_1853,PATRIC.83332.111.CP003248.CDS.1893584.1894237.rev,CDS,1893584,1894237,654,-,FIG00829746,,,AFN49587.1,217,Bis-ABC ATPase Uup,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1668c,fig|83332.111.peg.1854,,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_1854,PATRIC.83332.111.CP003248.CDS.1894231.1895322.rev,CDS,1894231,1895322,1092,-,FIG01392149,PLF_1763_00001412,PGF_03029859,AFN49588.1,363,Bis-ABC ATPase Uup,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2326c,fig|83332.111.peg.2590,,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_2590,PATRIC.83332.111.CP003248.CDS.2597864.2599834.rev,CDS,2597864,2599834,1971,-,FIG00108957,PLF_1763_00000165,PGF_00416213,AFN50288.1,656,Candidate substrate-specific domain of ECF transporters in Mycobacteria / Duplicated ATPase component of energizing module of predicted ECF transporter in Mycobacteria,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0838,fig|83332.111.peg.929,Membrane Transport,Membrane Transport,ABC transporters,lpqR,3.4.13.22,CP003248,VBIMycTub226894_0929,PATRIC.83332.111.CP003248.CDS.934882.935493.fwd,CDS,934882,935493,612,+,FIG01369240,PLF_1763_00001356,PGF_09220422,AFN48718.1,203,D-alanyl-D-alanine dipeptidase (EC 3.4.13.22),
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3663c,fig|83332.111.peg.4073,Membrane Transport,Membrane Transport,ABC transporters,dppD,,CP003248,VBIMycTub226894_4073,PATRIC.83332.111.CP003248.CDS.4102210.4103856.rev,CDS,4102210,4103856,1647,-,FIG00014907,PLF_1763_00002062,PGF_00692866,AFN51678.1,548,"Dipeptide ABC transporter, ATP-binding protein DppD (TC 3.A.1.5.2)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3665c,fig|83332.111.peg.4075,Membrane Transport,Membrane Transport,ABC transporters,dppB,,CP003248,VBIMycTub226894_4075,PATRIC.83332.111.CP003248.CDS.4104709.4105635.rev,CDS,4104709,4105635,927,-,FIG01954097,PLF_1763_00001984,PGF_00822481,AFN51680.1,308,"Dipeptide ABC transporter, permease protein DppB (TC 3.A.1.5.2)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3664c,fig|83332.111.peg.4074,Membrane Transport,Membrane Transport,ABC transporters,dppC,,CP003248,VBIMycTub226894_4074,PATRIC.83332.111.CP003248.CDS.4103853.4104653.rev,CDS,4103853,4104653,801,-,FIG00006691,PLF_1763_00002198,PGF_05847461,AFN51679.1,266,"Dipeptide ABC transporter, permease protein DppC (TC 3.A.1.5.2)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3666c,fig|83332.111.peg.4076,Membrane Transport,Membrane Transport,ABC transporters,dppA,,CP003248,VBIMycTub226894_4076,PATRIC.83332.111.CP003248.CDS.4105637.4107262.rev,CDS,4105637,4107262,1626,-,FIG00006128,PLF_1763_00209558,PGF_12679726,AFN51681.1,541,"Dipeptide ABC transporter, substrate-binding protein DppA (TC 3.A.1.5.2)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1458c,fig|83332.111.peg.1624,,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_1624,PATRIC.83332.111.CP003248.CDS.1643325.1644266.rev,CDS,1643325,1644266,942,-,FIG01307013,PLF_1763_00001065,PGF_03152404,AFN49370.1,313,"Efflux ABC transporter, ATP-binding protein Rv1458c",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1457c,fig|83332.111.peg.1623,,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_1623,PATRIC.83332.111.CP003248.CDS.1642543.1643328.rev,CDS,1642543,1643328,786,-,FIG01307030,PLF_1763_00001140,PGF_04372241,AFN49369.1,261,"Efflux ABC transporter, permease protein Rv1457c",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1273c,fig|83332.111.peg.1421,,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_1421,PATRIC.83332.111.CP003248.CDS.1422308.1424056.rev,CDS,1422308,1424056,1749,-,FIG01956052,PLF_1763_00001567,PGF_07367015,AFN49177.1,582,"Efflux ABC transporter, permease/ATP-binding protein SCO2463",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1747,fig|83332.111.peg.1943,,Membrane Transport,ABC transporters,,7.-.-.-,CP003248,VBIMycTub226894_1943,PATRIC.83332.111.CP003248.CDS.1973637.1976234.fwd,CDS,1973637,1976234,2598,+,FIG01323737,PLF_1763_00153350,PGF_03136538,AFN49674.1,865,"Efflux transmembrane permease Rv1747 family => implicated in rifampicin, ofloxacin efflux",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2832c,fig|83332.111.peg.3150,,Membrane Transport,ABC transporters,ugpC,,CP003248,VBIMycTub226894_3150,PATRIC.83332.111.CP003248.CDS.3138109.3139191.rev,CDS,3138109,3139191,1083,-,FIG00027233,PLF_1763_00002575,PGF_09994213,AFN50811.1,360,"Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2835c,fig|83332.111.peg.3153,,Membrane Transport,ABC transporters,ugpA,,CP003248,VBIMycTub226894_3153,PATRIC.83332.111.CP003248.CDS.3141321.3142187.rev,CDS,3141321,3142187,867,-,FIG00007316,PLF_1763_00001277,PGF_02903501,AFN50814.1,288,"Glycerol-3-phosphate ABC transporter, permease protein UgpA (TC 3.A.1.1.3)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2834c,fig|83332.111.peg.3152,,Membrane Transport,ABC transporters,ugpE,,CP003248,VBIMycTub226894_3152,PATRIC.83332.111.CP003248.CDS.3140497.3141282.rev,CDS,3140497,3141282,786,-,FIG00001871,PLF_1763_00002890,PGF_00837792,AFN50813.1,261,"Glycerol-3-phosphate ABC transporter, permease protein UgpE (TC 3.A.1.1.3)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2038c,fig|83332.111.peg.2273,,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_2273,PATRIC.83332.111.CP003248.CDS.2283731.2284804.rev,CDS,2283731,2284804,1074,-,FIG00027233,PLF_1763_00008346,PGF_06474763,AFN49979.1,357,"N-Acetyl-D-glucosamine ABC transport system, ATP-binding protein",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2040c,fig|83332.111.peg.2275,,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_2275,PATRIC.83332.111.CP003248.CDS.2285636.2286499.rev,CDS,2285636,2286499,864,-,FIG01319682,PLF_1763_00002150,PGF_05110907,AFN49981.1,287,"N-acetyl-D-glucosamine ABC transporter, permease protein 1",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2039c,fig|83332.111.peg.2274,,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_2274,PATRIC.83332.111.CP003248.CDS.2284807.2285649.rev,CDS,2284807,2285649,843,-,FIG01319682,PLF_1763_00002151,PGF_00802025,AFN49980.1,280,"N-acetyl-D-glucosamine ABC transporter, permease protein 2",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1281c,fig|83332.111.peg.1429,Membrane Transport,Membrane Transport,ABC transporters,oppD,,CP003248,VBIMycTub226894_1429,PATRIC.83332.111.CP003248.CDS.1433439.1435277.rev,CDS,1433439,1435277,1839,-,FIG01955327,PLF_1763_00001598,PGF_00026991,AFN49185.1,612,"Oligopeptide ABC transporter, ATP-binding protein OppD (TC 3.A.1.5.1) / Oligopeptide ABC transporter, ATP-binding protein OppF (TC 3.A.1.5.1)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1283c,fig|83332.111.peg.1431,Membrane Transport,Membrane Transport,ABC transporters,oppB,,CP003248,VBIMycTub226894_1431,PATRIC.83332.111.CP003248.CDS.1436146.1437123.rev,CDS,1436146,1437123,978,-,FIG00945384,PLF_1763_00001599,PGF_00977978,AFN49187.1,325,"Oligopeptide ABC transporter, permease protein OppB (TC 3.A.1.5.1)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1282c,fig|83332.111.peg.1430,Membrane Transport,Membrane Transport,ABC transporters,oppC,,CP003248,VBIMycTub226894_1430,PATRIC.83332.111.CP003248.CDS.1435274.1436149.rev,CDS,1435274,1436149,876,-,FIG00455853,PLF_1763_00001658,PGF_10569020,AFN49186.1,291,"Oligopeptide ABC transporter, permease protein OppC (TC 3.A.1.5.1)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1280c,fig|83332.111.peg.1428,Membrane Transport,Membrane Transport,ABC transporters,oppA,,CP003248,VBIMycTub226894_1428,PATRIC.83332.111.CP003248.CDS.1431671.1433308.rev,CDS,1431671,1433308,1638,-,FIG01307132,PLF_1763_00001530,PGF_02147779,AFN49184.1,545,"Oligopeptide ABC transporter, substrate-binding protein OppA (TC 3.A.1.5.1)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2585c,fig|83332.111.peg.2888,Membrane Transport,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_2888,PATRIC.83332.111.CP003248.CDS.2911014.2912687.rev,CDS,2911014,2912687,1674,-,FIG00451095,PLF_1763_00002484,PGF_02147779,AFN50555.1,557,"Oligopeptide ABC transporter, substrate-binding protein OppA (TC 3.A.1.5.1)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2325c,fig|83332.111.peg.2589,,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_2589,PATRIC.83332.111.CP003248.CDS.2597019.2597867.rev,CDS,2597019,2597867,849,-,FIG00143223,PLF_1763_00000715,PGF_00060541,AFN50287.1,282,Transmembrane component of energizing module of ECF transporters in Mycobacteria,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2691,fig|83332.111.peg.2997,,Membrane Transport,ABC transporters,ceoB,,CP003248,VBIMycTub226894_2997,PATRIC.83332.111.CP003248.CDS.3009354.3010037.fwd,CDS,3009354,3010037,684,+,FIG00000838,PLF_1763_00001252,PGF_04094270,AFN50664.1,227,TrkA-like protein,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2692,fig|83332.111.peg.2998,,Membrane Transport,ABC transporters,ceoC,,CP003248,VBIMycTub226894_2998,PATRIC.83332.111.CP003248.CDS.3010064.3010696.fwd,CDS,3010064,3010696,633,+,FIG00000838,PLF_1763_00001265,PGF_02895544,AFN50665.1,210,TrkA-like protein,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2059,fig|83332.111.peg.2297,,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_2297,PATRIC.83332.111.CP003248.CDS.2315509.2316717.fwd,CDS,2315509,2316717,1209,+,FIG00021555,PLF_1763_00003571,PGF_02486076,AFN50000.1,402,"Zinc ABC transporter, substrate-binding protein ZnuA",
Mycobacterium tuberculosis H37Rv ,83332,RVBD_2060,,,Membrane Transport,ABC transporters,,,,,,,,,,,,,,,,,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1135A,fig|83332.111.peg.1269,,Regulation and Cell signaling,Acetlytransferase,,,CP003248,VBIMycTub226894_1269,PATRIC.83332.111.CP003248.CDS.1264343.1264561.fwd,CDS,1264343,1264561,219,+,FIG01318775,PLF_1763_00169553,PGF_00025641,AFN49035.1,72,Acetyl-CoA acetyltransferase (EC 2.3.1.9),GO:0003985|acetyl-CoA C-acetyltransferase activity
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2170,fig|83332.111.peg.2416,,Regulation and Cell signaling,Acetlytransferase,,,CP003248,VBIMycTub226894_2416,PATRIC.83332.111.CP003248.CDS.2432243.2432863.fwd,CDS,2432243,2432863,621,+,FIG01195044,PLF_1763_00001207,PGF_10420503,AFN50118.1,206,Acetyltransferase,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0133,fig|83332.111.peg.154,,Regulation and Cell signaling,Acetlytransferase,,,CP003248,VBIMycTub226894_0154,PATRIC.83332.111.CP003248.CDS.160867.161472.fwd,CDS,160867,161472,606,+,FIG00001650,PLF_1763_00001747,PGF_10519603,AFN47981.1,201,"Acetyltransferase, GNAT family",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2775,fig|83332.111.peg.3088,,Regulation and Cell signaling,Acetlytransferase,,,CP003248,VBIMycTub226894_3088,PATRIC.83332.111.CP003248.CDS.3082856.3083380.fwd,CDS,3082856,3083380,525,+,FIG00989082,PLF_1763_00003097,PGF_10519603,AFN50750.2,174,"Acetyltransferase, GNAT family",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3216,fig|83332.111.peg.3591,,Regulation and Cell signaling,Acetlytransferase,,,CP003248,VBIMycTub226894_3591,PATRIC.83332.111.CP003248.CDS.3593517.3593849.fwd,CDS,3593517,3593849,333,+,FIG01342327,PLF_1763_00002943,PGF_10519603,AFN51217.1,110,"Acetyltransferase, GNAT family",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0919,fig|83332.111.peg.1019,,Regulation and Cell signaling,Acetlytransferase,,,CP003248,VBIMycTub226894_1019,PATRIC.83332.111.CP003248.CDS.1024688.1025188.fwd,CDS,1024688,1025188,501,+,FIG01303971,PLF_1763_00003042,PGF_09675703,AFN48804.1,166,FIG001353: Acetyltransferase,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3034c,fig|83332.111.peg.3381,,Regulation and Cell signaling,Acetlytransferase,,2.3.1.-,CP003248,VBIMycTub226894_3381,PATRIC.83332.111.CP003248.CDS.3394030.3394932.rev,CDS,3394030,3394932,903,-,FIG00139238,PLF_1763_00000532,PGF_00660064,AFN51023.1,300,Galactoside O-acetyltransferase (EC 2.3.1.18),GO:0008870|galactoside O-acetyltransferase activity
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2867c,fig|83332.111.peg.3190,,Regulation and Cell signaling,Acetlytransferase,,,CP003248,VBIMycTub226894_3190,PATRIC.83332.111.CP003248.CDS.3178468.3179280.rev,CDS,3178468,3179280,813,-,FIG00019367,PLF_1763_00000573,PGF_00006724,AFN50849.1,270,"GCN5-related N-acetyltransferase, FIGfam019367",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0428c,fig|83332.111.peg.469,,Regulation and Cell signaling,Acetlytransferase,,,CP003248,VBIMycTub226894_0469,PATRIC.83332.111.CP003248.CDS.516898.517743.rev,CDS,516898,517743,846,-,FIG00001650,PLF_1763_00002357,PGF_02601700,AFN48283.1,281,Histone acetyltransferase HPA2 and related acetyltransferases,GO:0008080|N-acetyltransferase activity
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3027c,fig|83332.111.peg.3373,,Regulation and Cell signaling,Acetlytransferase,,,CP003248,VBIMycTub226894_3373,PATRIC.83332.111.CP003248.CDS.3386085.3386930.rev,CDS,3386085,3386930,846,-,FIG01004154,PLF_1763_00000949,PGF_00041289,AFN51015.1,281,Putative hemolysin,
